epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,129.008,0.7094,0.78813,1.03281,0.97873,0.9932,0.9949,0.80432,0.72912,0.65733,1.05716,0.000231088,0.000231088,0.000231088
102,130.277,0.65677,0.72135,0.99931,0.98621,0.99069,0.995,0.84313,0.61327,0.62767,0.98063,0.000222289,0.000222289,0.000222289
103,131.534,0.69169,0.7758,1.02276,0.98621,0.99069,0.995,0.84313,0.61327,0.62767,0.98063,0.00021349,0.00021349,0.00021349
104,132.811,0.69766,0.77319,1.01542,0.98965,0.99264,0.995,0.85837,0.57793,0.61497,0.96253,0.000204691,0.000204691,0.000204691
105,134.033,0.63293,0.74701,1.02071,0.98965,0.99264,0.995,0.85837,0.57793,0.61497,0.96253,0.000195892,0.000195892,0.000195892
106,135.303,0.67477,0.75882,1.04643,0.99226,0.99375,0.995,0.85129,0.58809,0.60882,0.97477,0.000187092,0.000187092,0.000187092
107,136.558,0.64052,0.72445,1.00645,0.99226,0.99375,0.995,0.85129,0.58809,0.60882,0.97477,0.000178293,0.000178293,0.000178293
108,137.842,0.65468,0.77625,1.04649,0.99363,0.99325,0.995,0.85747,0.57427,0.60004,0.96696,0.000169494,0.000169494,0.000169494
109,139.069,0.70719,0.78726,1.06399,0.99363,0.99325,0.995,0.85747,0.57427,0.60004,0.96696,0.000160695,0.000160695,0.000160695
110,140.347,0.66553,0.73865,1.00906,0.99405,0.99365,0.995,0.87338,0.5329,0.58157,0.93946,0.000151896,0.000151896,0.000151896
111,141.589,0.63687,0.73573,1.02063,0.99405,0.99365,0.995,0.87338,0.5329,0.58157,0.93946,0.000143097,0.000143097,0.000143097
112,142.86,0.61482,0.71719,0.98932,0.98953,0.99681,0.995,0.88271,0.51674,0.57092,0.92785,0.000134298,0.000134298,0.000134298
113,144.098,0.66692,0.78818,1.04483,0.98953,0.99681,0.995,0.88271,0.51674,0.57092,0.92785,0.000125499,0.000125499,0.000125499
114,145.401,0.64797,0.7631,1.04662,0.99011,1,0.995,0.89011,0.50084,0.56201,0.91832,0.000116699,0.000116699,0.000116699
115,146.653,0.6086,0.74247,1.00908,0.99011,1,0.995,0.89011,0.50084,0.56201,0.91832,0.0001079,0.0001079,0.0001079
116,182.122,0.70123,1.01037,1.08878,0.99205,1,0.995,0.88459,0.50669,0.55971,0.91775,9.91012e-05,9.91012e-05,9.91012e-05
117,183.42,0.68396,1.02403,1.08862,0.99205,1,0.995,0.88459,0.50669,0.55971,0.91775,9.03021e-05,9.03021e-05,9.03021e-05
118,184.662,0.63804,0.97514,1.02691,0.9945,0.99993,0.995,0.87611,0.54422,0.57152,0.93326,8.1503e-05,8.1503e-05,8.1503e-05
119,185.863,0.68584,0.97624,1.07448,0.9945,0.99993,0.995,0.87611,0.54422,0.57152,0.93326,7.27038e-05,7.27038e-05,7.27038e-05
120,187.118,0.7297,0.93995,1.04642,0.99565,0.9998,0.995,0.86864,0.56167,0.58011,0.94132,6.39047e-05,6.39047e-05,6.39047e-05
121,188.341,0.7403,0.98847,1.04464,0.99565,0.9998,0.995,0.86864,0.56167,0.58011,0.94132,5.51056e-05,5.51056e-05,5.51056e-05
122,189.584,0.64515,0.95168,1.01634,0.99455,0.999,0.995,0.86869,0.55793,0.5816,0.94018,4.63065e-05,4.63065e-05,4.63065e-05
123,190.938,0.63956,0.92589,1.04498,0.99455,0.999,0.995,0.86869,0.55793,0.5816,0.94018,3.75074e-05,3.75074e-05,3.75074e-05
124,192.209,0.64238,0.90215,1.00065,0.9945,0.99853,0.995,0.87812,0.54015,0.57867,0.93273,2.87082e-05,2.87082e-05,2.87082e-05
125,193.495,0.59466,0.88178,0.97277,0.9945,0.99853,0.995,0.87812,0.54015,0.57867,0.93273,1.99091e-05,1.99091e-05,1.99091e-05
1,0.732011,4.76263,4.1928,2.04081,0.01647,0.04667,0.01568,0.004,3.73955,4.24702,1.75238,0,0,0
